net,length_um
_217_,701.03
_228_,516.56
_207_,455.24
net49,426.74
net14,398.52
_266_,379.98
net48,353.74
net4,332.29
net9,329.46
net38,327.76
net31,327.68
net2,308.78
net16,307.42
_255_,305.14
net5,303.2
_244_,301.74
u_dma.length\[17\],301.44
u_dma.length\[4\],287.115
net42,280.84
net29,278.28
u_dma.length\[19\],275.02
u_dma.length\[1\],273.56
net32,272.96
net15,260.36
u_dma.length\[7\],258.12
u_dma.length\[11\],255.58
_000_,252.845
_168_,247.78
net40,243.64
_242_,240.56
u_dma.length\[15\],237.7
u_dma.length\[24\],237.62
_239_,236.82
u_dma.length\[9\],236.42
net12,234.24
net24,225.94
net96,220.78
net99,220.54
net43,215.82
u_dma.length\[10\],214.24
u_dma.length\[5\],212.18
net41,211.76
net22,209.7
u_dma.length\[6\],206.72
_234_,203.2
u_dma.length\[21\],202.28
u_dma.length\[20\],200.44
net84,198.58
net63,197
net3,196.9
_204_,191.7
net1,190.88
net100,189.3
u_dma.length\[25\],186.58
net91,182.32
u_dma.length\[13\],181.84
net25,180.74
u_dma.length\[22\],179.28
net20,178.4
u_dma.length\[16\],175.64
_169_,172.69
_307_,172.44
u_dma.length\[27\],168.78
u_dma.length\[14\],168.74
net37,165.46
_001_,163.91
net18,162.74
net98,161.94
u_dma.length\[18\],161.74
net87,161.035
net44,160.76
net33,160.34
net23,159.04
net17,157.76
u_dma.length\[12\],156.35
net57,153.26
net70,153.1
u_dma.length\[8\],153.08
net21,152.78
_209_,142.72
net90,142.11
net89,141.57
net30,138.68
u_dma.length\[29\],137.32
net81,133.64
net7,132.24
net88,130.62
net6,129.24
net97,127.84
net36,127.36
net92,127.18
u_dma.length\[23\],126.86
net94,126.37
net86,126.32
net93,125.98
net95,124.02
net85,115.57
u_dma.length\[3\],115.55
_210_,114.38
net45,114.04
net83,113.85
u_dma.length\[28\],110.64
_227_,106.72
net79,106.2
net39,100.62
net47,100.3
net69,99.14
net11,94.74
_240_,94.18
_223_,90.3
_224_,87.04
net78,84.52
net27,83.46
net54,82.38
net50,77.32
_238_,75.96
net26,74.94
net73,74.72
u_dma.length\[26\],74.035
_336_,73.905
net34,73.42
u_dma.length\[2\],70.12
net66,67.32
_139_,65.27
net62,64.6
_212_,63.84
_200_,62.32
net35,59.52
_211_,59.32
u_dma.count\[5\],58.405
_243_,57
net19,56.78
net8,56.2
_133_,55.14
u_fifo.wptr\[0\],54.54
_315_,54.04
net46,53.88
net65,53.72
net53,52.78
u_dma.start,51.74
u_dma.count\[28\],49.365
_219_,49.06
u_dma.count\[3\],47.76
u_dma.length\[30\],47.66
_233_,47.4
_362_,47.4
u_dma.count\[16\],46.36
_084_,45.64
u_dma.count\[24\],45.6
u_dma.count\[22\],43.995
u_dma.count\[11\],43.86
_305_,43.3
net28,42.66
